Player,Tm,Age,Pos,G,GS,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,4QC,GWD,Rush_Att,Rush_Yds,Rush_TD,Tgt,Rec,Rec_Yds,Rec_TD,Fmb,Pro_Bowl
Taysom Hill,NOR,30,WR,16,8,88.0,121.0,928.0,4.0,2.0,0.0,0.0,87.0,457.0,8.0,12.0,8.0,98.0,1.0,10.0,False
Jarvis Landry,CLE,28,WR,15,14,4.0,4.0,74.0,1.0,0.0,0.0,0.0,4.0,10.0,1.0,101.0,72.0,840.0,3.0,2.0,False
Jamison Crowder,NYJ,27,WR,12,7,1.0,1.0,43.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,89.0,59.0,699.0,6.0,0.0,False
Jakobi Meyers,NWE,24,WR,14,9,2.0,2.0,43.0,2.0,0.0,0.0,0.0,2.0,9.0,0.0,81.0,59.0,729.0,0.0,1.0,False
Russell Gage,ATL,24,WR,16,8,1.0,2.0,39.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,109.0,72.0,786.0,4.0,0.0,False
Julian Edelman,NWE,34,WR,6,1,2.0,2.0,38.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,39.0,21.0,315.0,0.0,0.0,False
Lynn Bowden Jr.,MIA,23,WR,10,4,1.0,2.0,32.0,0.0,0.0,0.0,0.0,9.0,32.0,0.0,37.0,28.0,211.0,0.0,0.0,False
Zay Jones,LVR,25,WR,16,2,1.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,154.0,1.0,0.0,False
Cedrick Wilson Jr.,DAL,25,WR,16,0,2.0,2.0,23.0,1.0,0.0,0.0,0.0,3.0,-12.0,0.0,28.0,17.0,189.0,2.0,0.0,False
Cole Beasley,BUF,31,WR,15,10,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,82.0,967.0,4.0,0.0,False
Odell Beckham Jr.,CLE,28,WR,7,7,1.0,1.0,18.0,0.0,0.0,0.0,0.0,3.0,72.0,1.0,43.0,23.0,319.0,3.0,0.0,False
Golden Tate,NYG,32,WR,12,4,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,35.0,388.0,2.0,0.0,False
Tyler Boyd,CIN,26,WR,15,8,1.0,2.0,16.0,0.0,0.0,0.0,0.0,5.0,49.0,0.0,110.0,79.0,841.0,4.0,1.0,False
Greg Ward,PHI,25,WR,16,10,1.0,1.0,15.0,0.0,0.0,0.0,0.0,2.0,-4.0,0.0,79.0,53.0,419.0,6.0,2.0,False
Kendall Hinton,DEN,23,WR,1,0,1.0,9.0,13.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Isaiah McKenzie,BUF,25,WR,16,7,1.0,1.0,12.0,1.0,0.0,0.0,0.0,10.0,9.0,0.0,34.0,30.0,282.0,5.0,0.0,False
Jamal Agnew,DET,25,WR,14,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,0.0,20.0,13.0,89.0,0.0,2.0,False
Keenan Allen,LAC,28,WR,14,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,147.0,100.0,992.0,8.0,3.0,True
Randall Cobb,HOU,30,WR,10,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,38.0,441.0,3.0,0.0,False
Alex Erickson,CIN,28,WR,16,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,17.0,12.0,139.0,0.0,2.0,False
D.J. Moore,CAR,23,WR,15,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,118.0,66.0,1193.0,4.0,0.0,False
Zach Pascal,IND,26,WR,16,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,44.0,629.0,5.0,0.0,False
Sammy Watkins,KAN,27,WR,10,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,55.0,37.0,421.0,2.0,1.0,False
Isaiah Wright,WAS,23,WR,14,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,35.0,27.0,197.0,0.0,3.0,False
Cordarrelle Patterson,CHI,29,WR,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,232.0,1.0,25.0,21.0,132.0,0.0,0.0,False
Curtis Samuel,CAR,24,WR,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,200.0,2.0,97.0,77.0,851.0,3.0,1.0,False
Robert Woods,LAR,28,WR,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,155.0,2.0,129.0,90.0,936.0,6.0,2.0,False
Laviska Shenault Jr.,JAX,22,WR,14,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,91.0,0.0,79.0,58.0,600.0,5.0,0.0,False
Tyreek Hill,KAN,26,WR,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,123.0,2.0,135.0,87.0,1276.0,15.0,1.0,True
Chase Claypool,PIT,22,WR,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,2.0,109.0,62.0,873.0,9.0,3.0,False
CeeDee Lamb,DAL,21,WR,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,82.0,1.0,111.0,74.0,935.0,5.0,2.0,False
KJ Hamler,DEN,21,WR,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,40.0,0.0,56.0,30.0,381.0,3.0,2.0,False
Henry Ruggs III,LVR,21,WR,13,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,49.0,0.0,43.0,26.0,452.0,2.0,2.0,False
David Moore,SEA,25,WR,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,61.0,0.0,47.0,35.0,417.0,6.0,1.0,False
Deebo Samuel,SFO,24,WR,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,0.0,44.0,33.0,391.0,1.0,0.0,False
Brandon Aiyuk,SFO,22,WR,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,77.0,2.0,96.0,60.0,748.0,5.0,0.0,False
Amari Cooper,DAL,26,WR,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,130.0,92.0,1114.0,5.0,0.0,False
De'Michael Harris,IND,22,WR,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,46.0,0.0,10.0,10.0,79.0,0.0,0.0,False
Deonte Harris,NOR,23,WR,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,51.0,0.0,25.0,20.0,186.0,1.0,3.0,False
Sterling Shepard,NYG,27,WR,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,49.0,1.0,90.0,66.0,656.0,3.0,0.0,False
Tee Higgins,CIN,21,WR,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0,108.0,67.0,908.0,6.0,1.0,False
Gunner Olszewski,NWE,24,WR,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,0.0,5.0,5.0,62.0,1.0,1.0,False
Joe Reed,LAC,22,WR,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,False
Calvin Ridley,ATL,26,WR,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,143.0,90.0,1374.0,9.0,1.0,False
Robby Anderson,CAR,27,WR,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,136.0,95.0,1096.0,3.0,1.0,False
Cameron Batson,TEN,25,WR,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,13.0,12.0,100.0,1.0,1.0,False
Devin Duvernay,BAL,23,WR,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,70.0,0.0,26.0,20.0,201.0,0.0,0.0,False
Mecole Hardman,KAN,22,WR,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,0.0,62.0,41.0,560.0,4.0,2.0,False
Cooper Kupp,LAR,27,WR,15,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,0.0,124.0,92.0,974.0,3.0,1.0,False
Ray-Ray McCloud,PIT,24,WR,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,65.0,0.0,22.0,20.0,77.0,0.0,2.0,False
